Autor(a),ID Lattes do(a) autor(a),Orientadores,ID Lattes dos orientadores,Membros da banca,ID Lattes dos membros da banca,Tipo de documento,Título,Ano de defesa,Instituição de defesa,Sigla da instituição de defesa,País da instituição de defesa,Região da instituição de defesa,UF da instituição de defesa,Natureza administrativa da instituição de defesa,Latitude da instituição de defesa,Longitude da instituição de defesa,Identificador único da instituição de defesa,Departamento da instituição de defesa,Programa de Pós-Graduação da instituição de defesa,Identificador único do Programa de Pós-Graduação da instituição de defesa,Área do conhecimento,Área de avaliação,Direitos,Grau,Assuntos em português,Assuntos em inglês,URL do documento
"Domingues Pinheiro, Leisson||Oliveira Campos, Flávia Mara de",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Patentes disponíveis para prevenção e tratamento de lesão por pressão,Não informado pela instituição,Publicação independente,EDIÇÃO INDEPENDENTE,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Cuidados de Enfermagem||Lesão por Pressão||Tecnologia Biomédica,Não informado pela instituição,http://www.recien.com.br/index.php/Recien/article/view/165
"Chein Feres, Marcos Vinício||da Silva Sant'Anna, Leonardo||Silva, Alan Rossi",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Licenciamento voluntário de patentes e acesso a medicamentos: o caso do sofosbuvir,Não informado pela instituição,Universidade de Passo Fundo (UPF),UPF,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,http://seer.upf.br/index.php/rjd/article/view/10138
"Madeira Marcos, Laio Janio||Gonçalves, Tiago Figueiredo",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,"PATENTES E BIOPIRATARIA; COMENTÁRIOS À LEGISLAÇÃO, COM DESTAQUES À BIOTECNOLOGIA",Não informado pela instituição,Centro Universitário do Espírito Santo (Unesc),UNESC,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Lei||Espécimes||Discussões||Genéticos,Não informado pela instituição,http://revista.unesc.br/ojs/index.php/revistaunesc/article/view/78
"Bezerra, Ellen Aparecida Guimarães||Oliveira, Daniell dos Santos||Júnior, Maximino Alencar Bezerra",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Mapeamento de patentes relacionadas a vacinas contra o vírus HIV,Não informado pela instituição,Faculdades Integradas do Norte de Minas (FUNORTE),FUNORTE,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Vacinas||HIV||Patente||Imunização||Saúde pública,Não informado pela instituição,http://revistas.funorte.edu.br/revistas/index.php/bionorte/article/view/62
"Santos, Fernanda Bochi dos||Moura, Ana Maria Mielniczuk de",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Patentes em células-tronco: suas principais características e análise de citação,2020,Universidade Federal do Rio Grande do Sul (UFRGS),UFRGS,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Patentes||Análise de citação,Patents. Stem cells. Patentometrics. Citation Analysis.||Stem cells||Patentometrics||Citation Analysis,http://hdl.handle.net/10183/212793
"Vicente-Gomila, Jose Miguel||Souza, Diego de Oliveira||Rocha, Ângela Machado||Bittencourt, Luciano de Sá||Vicente-Gomila, Jose Miguel||Souza, Diego de Oliveira||Rocha, Ângela Machado||Bittencourt, Luciano de Sá",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Análise de patentes de medicamentos promissores para a doença de Alzheimer,2020,Universidade Federal da Bahia (UFBA),UFBA,Brasil,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Patente||Doença de Alzheimer||Indústria farmacêutica||Medicamentos||Informação e Saúde||Envelhecimento da população||Patents||Alzheimer's Disease||Medicines||Aging Population||Pharmaceutical Industry.,Não informado pela instituição,https://repositorio.ufba.br/handle/ri/34783
"Gouvêa, Carlos Pagano Botana Portugal",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,"O apoio dos EUA sobre patentes é bom, mas não suficiente",Não informado pela instituição,Universidade de São Paulo (USP),USP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,PATENTE,Não informado pela instituição,https://jornal.usp.br/artigos/o-apoio-dos-eua-sobre-patentes-e-bom-mas-nao-suficiente/
"Borini, Felipe Mendes",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Mobilidade acadêmica internacional e depósito de patentes no país de origem,Não informado pela instituição,Universidade de São Paulo (USP),USP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,PATENTE,Não informado pela instituição,http://bibliotecadigital.fgv.br/ojs/index.php/rap/article/view/78982/75606
"Ferreira Neto, Paula Teixeira Pinto||Oliveira, Vanessa da Gama||Pimenta, Fabrícia Pires",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Novas tecnologias para o tratamento da tuberculose: o que as patentes nos dizem,2020,Fundação Oswaldo Cruz (FIOCRUZ),FIOCRUZ,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,https://www.arca.fiocruz.br/handle/icict/42699
"Rodrigues Junior, Edson Beas",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Uma breve introdução à cláusula geral de exceção do direito das patentes = The three-step test of patent law: an introduction,2018,Superior Tribunal de Justiça (STJ),STJ,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,"Direito Autoral||Propriedade intelectual, legislação||Patente, legislação",Não informado pela instituição,https://bdjur.stj.jus.br/jspui/handle/2011/122676
"Palma, Eliane Arruda||Busnello, Ronaldo",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Acumulação por espoliação e o sistema de patentes: uma nova forma de colonização = Accumulation by spoliation and the patent system: a new form of colonization,2021,Superior Tribunal de Justiça (STJ),STJ,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,https://bdjur.stj.jus.br/jspui/handle/2011/153771
"Carvalho, Barbara Cristina Costa Bacelar||Santos, Maria Rita de Morais Chaves",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,The international patent classification: Description and importance,Não informado pela instituição,Ensino Superior do Piauí (AESPI),AESPI,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,http://www.revistageintec.net/index.php/revista/article/view/1379
